Bands of the 90s,,,,
,,,,
,,,,
Ash,Versions,File Type,,
Drive - E,,,,
,,,,
,,,,
[1996],,,,
"7-4-1996 / Kristiansand, Norway / Quartfestivalen - NRK P3",FM,FLAC,,
,,,,
[1997],,,,
"2-7-1997 / Malmo, Sweden / KB",FM,FLAC,,
,,,,
[1998],,,,
"8-14-1998 / Stockholm, Sweden / Riddarholmen - ANA(M) (unk) (qew transfer) ",AUD,FLAC 24,,
"9-13-1998 / Cardiff, Wales / Cooper's Field - Radio One (drumsboy transfer)",FM,FLAC,,
,,,,
[2001],,,,
"6-1-2001 / Galway, Ireland / Castlegar Sports Grounds",FM,FLAC,,
,,,,
[2002],,,,
"8-26-2002 / London, England / The Astoria Theatre - DAT(M) (Marantz EM8) (gary watson) ",AUD,FLAC,,
,,,,
[2004],,,,
"7-11-2004 / County Kildare, Ireland / Oxygen Festival",FM,FLAC,,
"8-7-2004 / Zambujeira do Mar, Portugal / Sudoeste Festival - Herdade da Casa Branca (kreative)",SBD,FLAC,,
,,,,
[2007],,,,
"5-2-2007 / Stuttgart, Germany / Die Roehre (MBHO MBP 603A) (unk)",AUD,FLAC,,
,,,,
[2013],,,,
"7-20-2013 / Meco, Sesimbra Portugal / SuperBock SuperRock Festival ",FM,FLAC,,
,,,,
[2014],,,,
"1-31-2014 / Los Angeles, CA / The Echo (Nakamichi CM100) (markp)",AUD,FLAC,,
,,,,
[2015],,,,
"6-12-2015 / Manchester, England /Sound Control (Sony ECM-125) (unk)",AUD,FLAC,,
,,,,
,,,,
,,,,
Athenaeum,Versions,File Type,,
Drive - E,,,,
,,,,
,,,,
[1999],,,,
"4-10-1999 / Wingate, NC / Wingate College (unk)",AUD,FLAC,,
,,,,
,,,,
,,,,
Band of Susans,Versions,File Type,,
Drive - E,,,,
,,,,
,,,,
[1988],,,,
"9-25-1988 / Montreal, QUE / Club Soda - AUD(M)",AUD,FLAC,,
,,,,
[1989],,,,
"6-30-1989 / Roskilde, Denmark - Darupvej",FM,FLAC,,
"9-25-1989 / Minneapolis, MN / First Avenue - ANA(M)",AUD,FLAC,,
,,,,
[1991],,,,
"5-30-1991 / Lund, Sweden / Swedish National Radio (loughney transfer) ",FM,FLAC,,
"6-2-1991 / Copenhagen, Denmark / Loppen - DAT(M) (Sony ECM 155s) (mailman)",AUD,FLAC,,
"6-19-1991 / Gent, Belgium / Democrazy - ANA(2) (loughney transfer)",SBD,FLAC,,
,,,,
[1992],,,,
"4-7-1992 / Denver, CO / Seven South - ANA(M) (loughney transfer)",AUD,FLAC,,
"5-22-1992 / Hoboken, NJ / Maxwell's - ANA(M)-ANA(1) (loughney transfer)",AUD,FLAC,,
,,,,
[1993],,,,
"6-8-1993 / Gothenburg, Sweden / Magasinet (Sony WM-D6) (loughney transfer)",AUD,FLAC,,
"10-1-1993 / Bissegem, BE / De Kreun (Sony WM-D3) (loughey transfer)",AUD,FLAC,,
